X,Y,Z
-73.790661,5.138326,119.61
-73.785347,5.151858,111.71
-73.785401,5.140504,108.40
-73.762360,5.154253,145.29
-73.783292,5.146173,37.78
-73.778660,5.141653,113.09
-73.768700,5.141211,56.71
-73.770352,5.168383,92.69
-73.775354,5.139092,67.02
-73.780000,5.156864,89.31
-73.789963,5.144458,83.63
-73.771128,5.148002,32.99
-73.788350,5.138858,102.24
-73.768059,5.143410,28.30
-73.784375,5.154452,95.01
-73.787326,5.169161,61.77
-73.794841,5.147665,79.98
-73.790223,5.154120,97.50
-73.788063,5.139556,100.23
-73.766847,5.144631,102.77
-73.786680,5.163389,58.44
-73.777422,5.146676,84.00
-73.764256,5.144236,55.45
-73.781221,5.152221,102.67
-73.763292,5.153070,44.15
-73.780116,5.159908,96.34
-73.786141,5.171416,106.91
-73.766491,5.139564,65.61
-73.770877,5.144124,31.46
-73.769913,5.168330,85.51
-73.776611,5.166235,88.32
-73.784681,5.160813,84.68
-73.768247,5.168421,81.30
-73.790421,5.142910,106.98
-73.787477,5.168522,70.15
-73.784576,5.166841,92.75
-73.769025,5.151639,99.00
-73.763967,5.140620,94.43
-73.787390,5.166023,41.65
-73.771728,5.139541,57.41
-73.792202,5.149178,108.76
-73.780188,5.169368,77.40
-73.769127,5.157494,60.39
-73.773852,5.144109,53.38
-73.774095,5.168021,101.23
-73.784864,5.168791,81.12
-73.789995,5.163119,71.20
-73.790345,5.143959,103.44
-73.786859,5.137395,79.27
-73.766765,5.144712,34.91
-73.774766,5.137912,34.37
-73.773069,5.150029,118.76
-73.766137,5.158003,87.33
-73.770683,5.162914,96.86
-73.765729,5.160018,65.27
-73.773489,5.170224,120.61
-73.783913,5.167763,98.74
-73.764322,5.150457,39.85
-73.785196,5.148014,81.93
-73.763803,5.136403,63.02
-73.770589,5.160518,86.56
-73.761800,5.143087,99.96
-73.765487,5.167039,96.07
-73.786705,5.150667,102.60
-73.766346,5.145037,128.32
-73.785684,5.148430,49.16
-73.795638,5.157915,16.59
-73.790062,5.167144,90.57
-73.776574,5.148785,91.53
-73.792283,5.145033,110.27
-73.770209,5.165066,81.83
-73.783632,5.141363,56.52
-73.774847,5.168713,89.34
-73.763500,5.153218,80.29
-73.784263,5.154827,53.75
-73.794127,5.157303,108.53
-73.793757,5.145780,97.29
-73.780101,5.165406,43.68
-73.781508,5.143740,79.77
-73.782145,5.157225,110.93
-73.792774,5.159665,110.09
-73.796122,5.155966,16.50
-73.780711,5.163496,38.65
-73.795792,5.154749,47.22
-73.796165,5.146305,81.64
-73.796604,5.153778,102.89
-73.795313,5.169895,77.32
-73.782691,5.169846,117.52
-73.771147,5.145498,46.22
-73.770260,5.141376,68.99
-73.782980,5.154331,73.64
-73.784111,5.151228,7.69
-73.778997,5.140299,98.74
-73.769853,5.166524,65.47
-73.763318,5.144933,73.07
-73.787207,5.160320,49.32
-73.784491,5.149744,112.63
-73.791166,5.138465,47.83
-73.762645,5.140398,61.66
-73.774918,5.168103,105.41
-73.770436,5.160700,34.91
-73.769469,5.157103,114.67
-73.767757,5.164568,53.68
-73.769766,5.166222,38.82
-73.767972,5.139515,78.10
-73.785390,5.139044,72.07
-73.762681,5.141145,59.99
-73.765852,5.168703,59.75
-73.786757,5.136272,58.76
-73.791575,5.149835,81.63
-73.794784,5.149390,43.92
-73.784075,5.146578,55.63
-73.789156,5.166770,74.68
-73.772037,5.156812,73.67
-73.771200,5.161041,36.36
-73.793329,5.146710,110.55
-73.764937,5.160983,84.43
-73.792486,5.158627,56.28
-73.793404,5.154177,122.24
-73.794722,5.160865,10.47
-73.769405,5.168150,120.24
-73.787403,5.170987,39.14
-73.765687,5.152953,74.43
-73.778998,5.141809,55.48
-73.782320,5.140878,117.90
-73.767713,5.145512,30.59
-73.770755,5.139557,66.77
-73.787388,5.163987,99.41
-73.766329,5.144803,106.79
-73.784255,5.171907,72.97
-73.790275,5.162615,57.52
-73.780078,5.163120,91.86
-73.782201,5.167693,43.08
-73.765668,5.155622,57.72
-73.786681,5.158752,45.52
-73.769045,5.140451,88.28
-73.788950,5.155272,46.31
-73.787789,5.146624,51.46
-73.771429,5.138838,104.53
-73.771154,5.161043,96.23
-73.768466,5.140360,80.21
-73.767659,5.160943,104.51
-73.789900,5.171739,65.07
-73.784225,5.161782,122.91
-73.771150,5.145520,63.42
-73.785284,5.139644,109.36
-73.777523,5.157881,106.16
-73.793822,5.136829,70.42
-73.791971,5.165532,53.12
-73.796482,5.154212,107.93
-73.771795,5.143493,111.67
-73.795734,5.147470,114.84
-73.777824,5.146432,118.77
-73.775961,5.154376,73.58
-73.774268,5.167355,127.64
-73.763517,5.158592,44.67
-73.764960,5.160487,50.40
-73.765855,5.170351,48.97
-73.780513,5.139800,39.43
-73.769559,5.149040,73.96
-73.774410,5.148218,58.13
-73.761844,5.153207,75.67
-73.764868,5.144273,112.57
-73.795733,5.164038,48.51
-73.795109,5.148330,63.10
-73.765452,5.140356,139.12
-73.769462,5.145596,90.48
-73.796066,5.143710,-6.95
-73.762100,5.165822,91.78
-73.795491,5.165037,126.69
-73.777927,5.161552,54.96
-73.765181,5.147747,87.19
-73.790425,5.150344,82.60
-73.765915,5.155088,45.48
-73.783307,5.157291,88.50
-73.773990,5.136530,78.96
-73.768348,5.148471,83.51
-73.773704,5.158416,106.09
-73.768886,5.145933,115.89
-73.768182,5.158014,22.50
-73.787780,5.149367,33.04
-73.776241,5.155618,35.71
-73.787104,5.168060,65.34
-73.786327,5.140845,58.54
-73.791775,5.139254,71.82
-73.791520,5.156585,106.03
-73.770666,5.152714,69.23
-73.781230,5.148974,91.64
-73.785135,5.168457,64.11
-73.763565,5.139842,34.84
-73.789508,5.168157,112.45
-73.791997,5.151860,51.20
-73.782841,5.168161,107.85
-73.787245,5.166705,89.59
-73.786658,5.144837,58.28
-73.767072,5.147044,112.09
-73.765125,5.159285,0.08
-73.792233,5.148437,148.52
-73.782270,5.169169,118.52
-73.779370,5.139115,40.41
-73.794751,5.139202,89.09
-73.767001,5.163192,86.00
-73.777692,5.168470,25.50
-73.778018,5.162210,58.56
-73.791844,5.149515,64.26
-73.771508,5.167719,53.93
-73.768243,5.171219,66.59
-73.761348,5.168239,34.98
-73.777291,5.163337,68.30
-73.765366,5.167845,77.69
-73.778672,5.145922,124.93
-73.772580,5.158028,74.66
-73.795906,5.136721,37.88
-73.775769,5.145398,81.37
-73.773161,5.155319,49.52
-73.796944,5.157625,114.14
-73.761857,5.154130,125.06
-73.787071,5.150254,107.82
-73.775613,5.158736,61.68
-73.790815,5.171646,82.17
-73.768381,5.155574,37.79
-73.762119,5.152951,124.05
-73.782529,5.157257,27.70
-73.778934,5.141035,55.59
-73.793210,5.167398,108.22
-73.793142,5.145472,64.59
-73.776689,5.171357,72.25
-73.765329,5.169034,123.50
-73.788346,5.141726,38.52
-73.779467,5.168358,69.87
-73.784090,5.164114,60.94
-73.778790,5.167321,21.21
-73.769971,5.158843,78.07
-73.792677,5.154253,47.23
-73.795304,5.168897,-18.54
-73.781118,5.165345,120.48
-73.773303,5.140073,38.55
-73.772106,5.161213,85.94
-73.794030,5.160781,47.24
-73.786136,5.169432,62.66
-73.783636,5.161005,139.10
-73.785238,5.162993,69.16
-73.788438,5.147851,68.77
-73.778170,5.150862,95.98
-73.767309,5.141437,73.79
-73.792496,5.141180,45.94
-73.782835,5.137295,72.46
-73.765230,5.139486,63.13
-73.770996,5.162997,51.21
-73.773702,5.162105,136.81
-73.775405,5.169430,76.04
-73.775699,5.136394,79.29
-73.796025,5.157656,52.79
-73.786842,5.144066,54.65
-73.774542,5.165103,131.15
-73.786539,5.137722,59.19
-73.796394,5.145725,109.48
-73.772463,5.163989,45.80
-73.782446,5.140674,52.65
-73.761666,5.145699,105.79
-73.776151,5.144301,43.58
-73.785103,5.137953,71.86
-73.777578,5.148118,4.91
-73.796225,5.169842,102.32
-73.778135,5.165910,75.79
-73.791943,5.142612,62.86
-73.793098,5.152248,3.92
-73.792324,5.140343,109.76
-73.793528,5.152524,58.37
-73.767945,5.155566,37.64
-73.792661,5.159009,84.41
-73.791726,5.156044,43.88
-73.791680,5.155996,108.37
-73.770580,5.137086,37.70
-73.794920,5.142018,98.36
-73.766606,5.166701,82.20
-73.781964,5.148835,52.19
-73.782789,5.149682,37.75
-73.781451,5.169088,77.94
-73.790517,5.150903,92.32
-73.770254,5.152415,83.67
-73.794230,5.162981,82.32
-73.776312,5.168925,78.84
-73.794506,5.157163,123.34
-73.791456,5.166349,27.22
-73.783442,5.155714,123.06
-73.771951,5.146747,93.89
-73.777662,5.137712,103.49
-73.794552,5.148343,93.08
-73.761178,5.159272,11.67
-73.762577,5.167746,64.90
-73.779604,5.155516,96.25
-73.779227,5.159109,43.75
-73.794705,5.150321,148.71
-73.792495,5.160025,86.51
-73.773147,5.156183,56.82
-73.781945,5.166129,60.34
-73.777363,5.142769,27.58
-73.778194,5.160202,34.91
-73.767920,5.138029,129.06
-73.785866,5.170433,71.01
-73.781942,5.167217,77.41
-73.766351,5.147880,145.55
-73.766393,5.170452,57.45
-73.779944,5.139069,50.00
-73.793341,5.167522,65.93
-73.793535,5.170163,72.38
-73.769467,5.157826,87.30
-73.762780,5.162857,131.75
-73.783283,5.155552,54.28
-73.764590,5.158211,34.13
-73.766914,5.171938,72.71
-73.789029,5.147616,97.58
-73.793467,5.137592,92.96
-73.794145,5.163887,27.39
-73.791653,5.159497,92.72
-73.770909,5.142044,96.22
-73.776133,5.139732,109.84
-73.777016,5.152383,83.34
-73.795201,5.157037,65.29
-73.778558,5.137748,64.39
-73.781332,5.160614,63.14
-73.787914,5.167470,79.38
-73.781872,5.172192,71.76
-73.778926,5.162586,108.32
-73.768952,5.163936,99.66
-73.795918,5.148479,46.77
-73.768601,5.166791,117.12
-73.772253,5.155019,151.62
-73.766088,5.171389,57.06
-73.778812,5.166569,132.65
-73.795423,5.144879,90.51
-73.789204,5.169740,86.06
-73.786467,5.151942,130.45
-73.763791,5.170889,100.92
-73.785004,5.154039,83.98
-73.771985,5.137903,67.60
-73.773377,5.166877,101.61
-73.765971,5.162748,105.80
-73.782244,5.170591,56.92
-73.774662,5.158256,120.34
-73.783412,5.139289,93.20
-73.796719,5.159203,53.74
-73.797041,5.151065,108.70
-73.777415,5.161252,114.95
-73.770259,5.158997,104.26
-73.769843,5.171095,61.24
-73.779872,5.149155,98.63
-73.766592,5.163782,78.84
-73.767375,5.144127,57.83
-73.779008,5.167481,95.86
-73.783869,5.165952,93.83
-73.792478,5.169057,103.03
-73.778397,5.146388,57.73
-73.775572,5.144982,114.50
-73.770171,5.168033,87.82
-73.795670,5.146539,101.51
-73.776908,5.138233,115.04
-73.791566,5.167033,54.41
-73.794516,5.138161,88.07
-73.764382,5.156501,78.83
-73.774172,5.158282,10.67
-73.795624,5.147530,27.19
-73.793449,5.144970,109.92
-73.793224,5.139297,45.86
-73.765176,5.160421,63.63
-73.785322,5.136339,5.85
-73.790704,5.142528,90.69
-73.795435,5.152850,70.24
-73.791265,5.153062,50.14
-73.787435,5.156285,110.07
-73.770211,5.151475,49.35
-73.772082,5.161783,120.06
-73.768475,5.170895,156.75
-73.788122,5.144796,112.71
-73.777441,5.168924,49.91
-73.794181,5.137681,71.70
-73.786418,5.166120,44.22
-73.761472,5.156533,111.56
-73.771640,5.168142,86.49
-73.767471,5.137091,53.19
-73.774534,5.153944,81.09
-73.777895,5.147913,96.48
-73.773051,5.143019,72.54
-73.764456,5.138019,125.12
-73.780540,5.148182,107.95
-73.779785,5.137590,24.87
-73.780447,5.146056,17.69
-73.793522,5.153628,75.57
-73.778619,5.165350,95.76
-73.769288,5.164147,73.50
-73.774765,5.161353,-0.04
-73.781659,5.172019,140.82
-73.761505,5.151231,68.03
-73.788955,5.161908,87.61
-73.773114,5.157594,95.40
-73.791148,5.149222,62.74
-73.788664,5.162407,44.52
-73.761364,5.170935,80.50
-73.792601,5.136667,81.02
-73.765506,5.171165,89.03
-73.766319,5.146701,60.27
-73.783272,5.150288,90.53
-73.765989,5.166295,103.76
-73.779207,5.146305,74.08
-73.782528,5.141996,152.40
-73.779596,5.149990,47.05
-73.780549,5.157127,38.69
-73.761712,5.169026,85.49
-73.776097,5.172150,57.61
-73.764346,5.147684,106.91
-73.779035,5.166566,115.19
-73.769643,5.162114,93.47
-73.763825,5.165447,129.77
-73.784027,5.172199,80.65
-73.778501,5.139110,67.79
-73.772293,5.143184,86.98
-73.769834,5.165403,131.50
-73.762687,5.152986,53.70
-73.787995,5.161888,156.65
-73.765149,5.141648,85.26
-73.794540,5.171398,101.73
-73.796568,5.144863,69.98
-73.772392,5.155124,91.79
-73.772071,5.155927,112.77
-73.770540,5.171574,89.28
-73.793262,5.160317,92.34
-73.771392,5.141154,74.58
-73.795354,5.170964,81.25
-73.774302,5.138882,70.39
-73.793474,5.160175,79.07
-73.772399,5.153215,83.02
-73.768962,5.152541,125.24
-73.763130,5.159553,93.88
-73.777318,5.169553,20.04
-73.777335,5.159168,139.25
-73.791810,5.146564,5.67
-73.790405,5.165112,107.84
-73.794800,5.146370,55.72
-73.796822,5.163622,115.66
-73.766721,5.150551,96.07
-73.787038,5.142521,62.25
-73.769046,5.153873,60.80
-73.793277,5.169487,73.67
-73.765933,5.153643,113.66
-73.795484,5.163524,86.59
-73.794422,5.159770,57.62
-73.771257,5.171839,40.86
-73.769104,5.156060,46.17
-73.781476,5.157396,67.34
-73.781220,5.166481,53.00
-73.782369,5.145199,73.69
-73.779347,5.147821,29.72
-73.777237,5.142204,87.43
-73.770019,5.155717,80.64
-73.785556,5.152914,100.23
-73.774383,5.161191,69.21
-73.791310,5.149246,59.15
-73.787268,5.137897,49.97
-73.782083,5.155365,49.38
-73.769788,5.138495,51.53
-73.775380,5.171137,56.15
-73.763092,5.153740,94.31
-73.765372,5.164782,79.26
-73.789707,5.162309,113.48
-73.789168,5.168250,40.18
-73.772028,5.139265,100.92
-73.788599,5.153989,76.42
-73.772727,5.140527,101.31
-73.784545,5.144474,81.60
-73.779431,5.145666,52.66
-73.774155,5.170242,90.85
-73.770059,5.165276,89.86
-73.764162,5.158010,102.69
-73.768377,5.143897,87.63
-73.785968,5.146031,120.49
-73.769720,5.158829,87.19
-73.783195,5.158802,98.08
-73.779028,5.169030,96.53
-73.771177,5.145043,81.39
-73.779293,5.140538,52.02
-73.786605,5.153214,77.83
-73.781682,5.150086,58.07
-73.788807,5.150571,69.98
-73.780921,5.163136,72.98
-73.782176,5.163156,69.54
-73.762736,5.156464,97.75
-73.769181,5.146197,65.71
-73.789464,5.168636,122.30
-73.786563,5.171155,66.45
-73.778288,5.159911,74.29
-73.782417,5.150874,76.19
-73.793010,5.146092,52.36
-73.769064,5.154763,82.07
-73.772483,5.168276,19.99
-73.791229,5.157144,118.75
-73.773350,5.171794,125.89
-73.764443,5.152128,94.00
-73.791787,5.155239,58.45
-73.765933,5.148696,130.07
-73.763716,5.167989,77.74
-73.788182,5.156848,68.99
-73.767456,5.140289,98.29
-73.762553,5.159407,105.06
-73.764172,5.169716,83.25
-73.761884,5.142964,93.98
-73.791252,5.150057,91.08
-73.784200,5.151442,92.42
-73.781811,5.147089,61.13
-73.794233,5.157311,139.14
-73.779429,5.162496,83.91
-73.786130,5.151635,80.80
-73.761460,5.167417,25.71
-73.778336,5.163771,107.60
-73.792922,5.146223,87.62
-73.787506,5.159689,102.96
-73.790955,5.163701,122.55
-73.796262,5.145879,95.50
-73.771623,5.142209,100.30
-73.778637,5.162274,57.20
-73.763588,5.138940,118.57
-73.784681,5.154303,46.95
-73.793025,5.147473,80.70
-73.776432,5.149936,89.23
-73.770021,5.151339,69.39
-73.774560,5.151675,22.24
-73.767091,5.153680,58.48
-73.792782,5.163069,79.62
-73.775044,5.141069,73.20
-73.791490,5.154084,86.78
-73.785577,5.164036,62.82
-73.787975,5.166740,66.64
-73.778148,5.139958,108.41
-73.789474,5.156099,51.07
-73.795789,5.155739,29.99
-73.767305,5.138636,147.59
-73.773543,5.170123,83.58
-73.787081,5.149065,100.49
-73.773595,5.159941,117.40
-73.787097,5.158687,22.22
-73.794598,5.146522,55.51
-73.779914,5.169443,96.33
-73.793159,5.136371,48.35
-73.773466,5.170144,78.32
-73.782637,5.153378,73.52
-73.795619,5.149520,132.13
-73.774897,5.142777,112.50
-73.784552,5.155809,46.98
-73.763563,5.150429,46.66
-73.766135,5.154054,89.78
-73.796330,5.161415,26.10
-73.781552,5.151188,82.82
-73.765062,5.147729,116.04
-73.779736,5.139393,47.22
-73.793003,5.155078,82.86
-73.791565,5.170543,62.09
-73.790586,5.156216,68.13
-73.781037,5.143085,46.75
-73.788903,5.152241,66.38
-73.766547,5.138720,94.55
-73.764732,5.153356,56.96
-73.789545,5.140066,82.85
-73.777318,5.163922,66.60
-73.784705,5.143340,111.64
-73.763584,5.152519,103.61
-73.796617,5.159846,72.08
-73.769142,5.139441,35.90
-73.782027,5.147049,161.92
-73.770696,5.164670,70.75
-73.767359,5.142875,90.14
-73.792333,5.164647,115.67
-73.787380,5.149653,84.25
-73.786908,5.162149,106.72
-73.790992,5.139417,77.81
-73.766274,5.156450,101.50
-73.793253,5.164650,59.20
-73.768756,5.146556,75.76
-73.774681,5.140014,67.06
-73.771451,5.160119,63.22
-73.775119,5.170404,54.46
-73.773805,5.139163,139.42
-73.796287,5.136914,101.94
-73.795746,5.155939,48.26
-73.789322,5.152646,96.68
-73.790357,5.165091,62.84
-73.794258,5.155727,84.61
-73.764595,5.170154,66.65
-73.770404,5.158752,90.26
-73.782091,5.160133,101.35
-73.774851,5.138228,81.97
-73.792490,5.157718,88.43
-73.787370,5.167538,79.40
-73.797291,5.169747,55.25
-73.770159,5.142530,54.17
-73.792709,5.170448,47.40
-73.784084,5.158875,79.17
-73.767944,5.167833,92.44
-73.774773,5.139185,86.55
-73.793423,5.160910,75.24
-73.779719,5.140277,68.80
-73.783933,5.136497,123.27
-73.780439,5.145567,148.23
-73.782986,5.136964,62.86
-73.781360,5.140910,58.16
-73.765666,5.147941,82.50
-73.797094,5.142205,74.16
-73.789094,5.158098,81.36
-73.777386,5.157805,49.15
-73.775822,5.161091,66.35
-73.767694,5.164384,96.07
-73.767502,5.143898,97.68
-73.774565,5.154248,181.64
-73.795809,5.146999,27.36
-73.788736,5.146440,97.77
-73.776604,5.154129,87.31
-73.788632,5.140938,51.88
-73.764147,5.171709,92.73
-73.796032,5.138903,92.83
-73.786290,5.164869,90.76
-73.766867,5.153150,96.56
-73.793269,5.170881,68.98
-73.769691,5.140063,82.06
-73.778841,5.167308,81.52
-73.773157,5.154896,30.42
-73.783531,5.153825,100.76
-73.774055,5.140333,113.64
-73.778447,5.152435,80.32
-73.771278,5.146835,70.77
-73.762770,5.167901,89.86
-73.790977,5.147623,73.97
-73.776662,5.139826,53.74
-73.789724,5.148639,128.07
-73.766320,5.163556,95.03
-73.763525,5.144610,87.44
-73.779895,5.139463,91.00
-73.794418,5.139855,67.15
-73.784461,5.157924,60.60
-73.775976,5.169579,32.75
-73.786355,5.162169,62.14
-73.783482,5.136767,95.06
-73.780771,5.162396,86.95
-73.776100,5.138489,90.73
-73.779112,5.144752,116.47
-73.793576,5.145750,130.15
-73.761117,5.148886,51.04
